team,player,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
Connecticut,Alex Karaban,40,5,14,.357,2,4,.500,3,10,.300,4,6,.667,3,8,11,2,2,0,1,1,17,14.9
Connecticut,Braylon Mullins,36,4,17,.235,1,7,.143,3,10,.300,0,0,,3,4,7,2,0,1,1,2,11,4.3
Connecticut,Tarris Reed Jr.,34,4,12,.333,4,11,.364,0,1,.000,5,6,.833,7,7,14,0,1,0,3,3,13,9.6
Connecticut,Silas Demary Jr.,21,1,4,.250,1,3,.333,0,1,.000,0,0,,2,0,2,2,0,1,1,5,2,0.1
Connecticut,Solomon Ball,17,4,10,.400,1,3,.333,3,7,.429,0,0,,0,0,0,0,0,0,1,4,11,3.0
Connecticut,Malachi Smith,20,3,6,.500,3,4,.750,0,2,.000,0,0,,2,1,3,3,1,0,1,2,6,6.0
Connecticut,Jayden Ross,19,0,2,.000,0,1,.000,0,1,.000,3,4,.750,2,2,4,0,0,0,1,2,3,1.4
Connecticut,Jaylin Stewart,9,0,3,.000,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,3,0,-2.3
Connecticut,Eric Reibe,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0
Michigan,Yaxel Lendeborg,36,4,13,.308,4,8,.500,0,5,.000,5,5,1.000,1,1,2,1,0,1,1,3,13,5.7
Michigan,Aday Mara,30,4,7,.571,4,7,.571,0,0,,0,0,,0,4,4,1,1,1,2,1,8,5.9
Michigan,Elliot Cadeau,30,5,11,.455,4,7,.571,1,4,.250,8,9,.889,0,3,3,2,2,0,1,3,19,15.0
Michigan,Morez Johnson Jr.,28,5,7,.714,5,7,.714,0,0,,2,2,1.000,5,5,10,0,1,2,3,4,12,11.9
Michigan,Nimari Burnett,16,0,3,.000,0,1,.000,0,2,.000,4,4,1.000,1,3,4,0,2,0,1,0,4,4.5
Michigan,Trey McKenney,29,2,9,.222,1,5,.200,1,4,.250,4,4,1.000,0,8,8,1,0,0,0,0,9,6.6
Michigan,Roddy Gayle Jr.,25,1,4,.250,1,4,.250,0,0,,2,4,.500,3,1,4,2,0,2,2,2,4,3.2
Michigan,Will Tschetter,6,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
