team,player,starter,MIN,PTS,FG,3PT,FT,REB,AST,TO,STL,BLK,OREB,DREB,PF
UConn Huskies,Alex Karaban #11,Y,40,17,5-14,3-10,4-6,11,2,1,2,0,3,8,1
UConn Huskies,Tarris Reed Jr. #5,Y,34,13,4-12,0-1,5-6,14,0,3,1,0,7,7,3
UConn Huskies,Braylon Mullins #24,Y,36,11,4-17,3-10,0-0,7,2,1,0,1,3,4,2
UConn Huskies,Silas Demary Jr. #2,Y,21,2,1-4,0-1,0-0,2,2,1,0,1,2,0,5
UConn Huskies,Solo Ball #1,Y,16,11,4-10,3-7,0-0,0,0,1,0,0,0,0,4
UConn Huskies,Jayden Ross #23,N,19,3,0-2,0-1,3-4,4,0,1,0,0,2,2,2
UConn Huskies,Jaylin Stewart #3,N,9,0,0-3,0-1,0-0,2,0,0,0,0,1,1,3
UConn Huskies,Eric Reibe #12,N,5,0,0-0,0-0,0-0,0,0,1,0,0,0,0,0
UConn Huskies,Malachi Smith #0,N,20,6,3-6,0-2,0-0,3,3,1,1,0,2,1,2
Michigan Wolverines,Yaxel Lendeborg #23,Y,36,13,4-13,0-5,5-5,2,1,1,0,1,1,1,3
Michigan Wolverines,Morez Johnson Jr. #21,Y,28,12,5-7,0-0,2-2,10,0,3,1,2,5,5,4
Michigan Wolverines,Aday Mara #15,Y,30,8,4-7,0-0,0-0,4,1,2,1,1,0,4,1
Michigan Wolverines,Elliot Cadeau #3,Y,30,19,5-11,1-4,8-9,3,2,1,2,0,0,3,3
Michigan Wolverines,Nimari Burnett #4,Y,16,4,0-3,0-2,4-4,4,0,1,2,0,1,3,0
Michigan Wolverines,Will Tschetter #42,N,6,0,0-1,0-0,0-0,1,0,0,0,0,0,1,0
Michigan Wolverines,Roddy Gayle Jr. #11,N,25,4,1-4,0-0,2-4,4,2,2,0,2,3,1,2
Michigan Wolverines,Trey McKenney #1,N,29,9,2-9,1-4,4-4,8,1,0,0,0,0,8,0
